date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:21	72381/72381	---M-Z	200	added ('OK')	text/html	etag:%2211abd-68c2698a-ea4a8e90cebd3b5c;gz%22	https://html.themewant.com/moonlit/index-dark.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/index-dark.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:22	34458/34458	---M--	200	added ('OK')	image/webp	etag:%22869a-68c2698a-a0bd99f760e97101;;;%22	https://html.themewant.com/moonlit/assets/images/menu/hotel-dark.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/menu/hotel-dark.webp	(from https://html.themewant.com/moonlit/room-one.html)
16:35:22	70557/70557	---M-Z	200	added ('OK')	text/html	etag:%221139d-68c2698a-6237283248a63737;gz%22	https://html.themewant.com/moonlit/index-video.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/index-video.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:23	35388/35388	---M--	200	added ('OK')	image/webp	etag:%228a3c-68c2698a-cddb7edff413188e;;;%22	https://html.themewant.com/moonlit/assets/images/menu/08.webp	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/assets/images/menu/08.webp	(from https://html.themewant.com/moonlit/room-one.html)
16:35:23	57608/57608	---M-Z	200	added ('OK')	text/html	etag:%22e108-68c2698a-be7cedf8af505d66;gz%22	https://html.themewant.com/moonlit/room-two.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/room-two.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:24	53784/53784	---M-Z	200	added ('OK')	text/html	etag:%22d218-68c2698a-475dc8386a55e48b;gz%22	https://html.themewant.com/moonlit/room-three.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/room-three.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:24	52781/52781	---M-Z	200	added ('OK')	text/html	etag:%22ce2d-68c2698a-22f0697e382131cb;gz%22	https://html.themewant.com/moonlit/room-four.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/room-four.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:25	54442/54442	---M-Z	200	added ('OK')	text/html	etag:%22d4aa-68c2698a-6eb9f6d2e48fa6b2;gz%22	https://html.themewant.com/moonlit/room-details-1.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/room-details-1.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:26	56361/56361	---M-Z	200	added ('OK')	text/html	etag:%22dc29-68c2698a-797b064cd89325dc;gz%22	https://html.themewant.com/moonlit/room-details-2.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/room-details-2.html	(from https://html.themewant.com/moonlit/room-one.html)
16:35:27	87182/87182	---M-Z	200	added ('OK')	text/html	etag:%221548e-68c2698a-474f5dae60bbc5dd;gz%22	https://html.themewant.com/moonlit/resturant.html	C:/My%20Web%20Sites/Boston%20suites/html.themewant.com/moonlit/resturant.html	(from https://html.themewant.com/moonlit/room-one.html)
